학번,전공1,전공2,전공3,전공4
2009-13248,수리과학전공,,,
2009-13249,서양사학전공,외교학전공,,
2009-13251,경제학전공,정치학전공,,
2009-13252,경제학전공,,,
2009-13253,경제학전공,에너지자원공학전공,,
2009-13255,경제학전공,정치학전공,,
2009-13256,경제학전공,인문소통학,,
2009-13257,인류학전공,국제개발협력학,,
2009-13258,경제학전공,경영학전공,,
2009-13259,경제학전공,정치학전공,,
2009-13260,경제학전공,경영학전공,,
2009-13261,경제학전공,,,
2009-13262,경제학전공,수리과학전공,,
2009-13264,경제학전공,,,
2009-13265,언론정보학전공,경영학전공,,
2009-13266,경제학전공,라틴아메리카지역학,,
2009-13267,심리학전공,수리과학전공,,
2009-13269,생명과학전공,,,
2009-13270,정치학전공,경영학전공,,
2009-13271,경영학전공,아동가족학전공,,
2009-13272,사회학전공,경영학전공,,
2009-13273,언론정보학전공,경영학전공,,
2009-13274,중어중문학전공,경제학전공,,
2009-13275,생명과학전공,,,
2009-13276,경제학전공,,,
2009-13277,정치학전공,경영학전공,,
2009-13278,경영학전공,,,
2009-13279,경제학전공,경영학전공,,
2009-13280,연합전공 정보문화학,경영학전공,,
2009-13281,경제학전공,인권학,,
2009-13282,경제학전공,외교학전공,,
2009-13283,생명과학전공,,,
2009-13284,심리학전공,생명과학전공,,
2009-13285,심리학전공,,,
2009-13286,심리학전공,경영학전공,,
2009-13287,통계학전공,,,
2009-13288,외교학전공,물리학전공,,
2009-13289,경영학전공,,,
2009-13292,지구환경과학전공,,,
2009-13294,경제학전공,,,
2009-13296,생명과학전공,,,
2009-13297,생명과학전공,국제개발협력학,,
2009-13299,경영학전공,,,
2009-13300,경제학전공,아동가족학전공,,
2009-13301,경제학전공,통계학전공,,
2009-13302,생명과학전공,,,
2009-13303,경제학전공,,,
2009-13304,생명과학전공,,,
2009-13305,경영학전공,,,
2009-13306,경제학전공,,,
2009-13307,경영학전공,통계학전공,,
2009-13308,언론정보학전공,경영학전공,,
2009-13309,수리과학전공,물리학전공,,
2009-13311,언어학전공,심리학전공,,
2009-13312,심리학전공,생명과학전공,,
2009-13313,언론정보학전공,경영학전공,,
2009-13314,경영학전공,국제정치경제학,,
2009-13315,언론정보학전공,경영학전공,,
2009-13316,사회학전공,경영학전공,,
2009-13317,경영학전공,,,
2009-13318,경제학전공,경영학전공,,
2009-13319,수리과학전공,,,
2009-13320,정치학전공,,,
2009-13321,영어영문학전공,경영학전공,,
2009-13322,서어서문학전공,경영학전공,,
2009-13323,경영학전공,국제통상학,,
2009-13324,사회학전공,연합전공 정보문화학,,
2009-13325,경제학전공,연합전공 기술경영,,
2009-13327,경제학전공,수리과학전공,,
2009-13328,경제학전공,,,
2009-13329,수리과학전공,컴퓨터공학전공,,
2009-13330,연합전공 기술경영,,,
2009-13331,심리학전공,경제학전공,,
2009-13332,언론정보학전공,경영학전공,,
2009-13333,경제학전공,,,
2009-13334,외교학전공,,,
2009-13335,경영학전공,,,
2009-13336,수리과학전공,국제정치경제학,,
2009-13337,심리학전공,생명과학전공,,
2009-13339,심리학전공,경제학전공,,
2009-13341,경제학전공,,,
2009-13342,경제학전공,음악미학,,
2009-13343,경제학전공,인지생물심리학,,
2009-13344,화학전공,,,
2009-13345,경영학전공,화학생물공학전공,,
2009-13346,외교학전공,국제개발협력학,,
2009-13347,경영학전공,생명과학전공,,
2009-13349,경제학전공,수리과학전공,,
2009-13350,경제학전공,,,
